ndata,model,mean_fn,error_J_50,error_J_100,error_J_500,error_J_1000,PY_THETA,PY_ALPHA,repnum
5000,NGG,geom,33.756629650933974,37.73214954983325,23.87928623707964,28.70022265850676,10.0,0.25,3
5000,NGG,avg,44.35379853792773,40.57604209445833,36.918782198874396,52.40562863624535,10.0,0.25,3
5000,DP,geom,135.47842730908056,136.47844649131687,138.4483172438279,138.78391804293878,10.0,0.25,3
5000,DP,avg,135.32361010191826,136.44010999464354,138.44831648039636,138.78391804293878,10.0,0.25,3
10000,NGG,geom,111.26736689623675,139.22828774689168,130.43369130320826,123.58909294451354,10.0,0.25,3
10000,NGG,avg,141.4566993938971,106.75725795483822,114.5740699944214,110.17387443460444,10.0,0.25,3
10000,DP,geom,168.0457381229006,170.75447322275573,172.0136608272557,171.5169236387587,10.0,0.25,3
10000,DP,avg,167.83643067384645,170.73203282831358,172.0136248555752,171.5169236387587,10.0,0.25,3
100000,NGG,geom,811.2555859285112,741.4211656843049,1010.3172508639398,1063.0058643746886,10.0,0.25,3
100000,NGG,avg,824.6797933324995,1010.443599387246,711.4329505651247,984.0125938326719,10.0,0.25,3
100000,DP,geom,330.2126767955719,332.7195200382535,332.5016649415505,333.68490044914495,10.0,0.25,3
100000,DP,avg,329.9457949320919,332.5799475636383,332.50164519599844,333.68490044914495,10.0,0.25,3
250000,NGG,geom,1586.156716858413,1597.8877106665477,2227.480930394839,1953.7459240217531,10.0,0.25,3
250000,NGG,avg,1549.1240543543377,1594.418681769048,1627.9814871362082,1687.640718138302,10.0,0.25,3
250000,DP,geom,429.530506282484,432.5128697731183,432.7121035373572,432.5865478854075,10.0,0.25,3
250000,DP,avg,429.27107272780745,432.23993076724383,432.71208499870977,432.5865478854075,10.0,0.25,3
5000,NGG,geom,819.3079336732869,891.4249519433993,1028.181776042278,1064.3075071362666,10.0,0.75,6
5000,NGG,avg,823.2669590163496,876.2941119734355,1041.9073165103507,1065.6454648405265,10.0,0.75,6
5000,DP,geom,1109.5918602277236,1076.4415125363032,1031.464322799986,1038.1837501025361,10.0,0.75,6
5000,DP,avg,1109.0458946427448,1076.090303717794,1031.4570649833777,1038.1837501025364,10.0,0.75,6
10000,NGG,geom,1337.6418590541261,1391.2671965919294,1486.4910011025913,1628.1350038712612,10.0,0.75,6
10000,NGG,avg,1334.926388611861,1365.1289718188186,1516.6737886644746,1620.3690812220693,10.0,0.75,6
10000,DP,geom,1961.3362379687444,1872.4556003909292,1594.6363980585525,1500.7547058806854,10.0,0.75,6
10000,DP,avg,1960.9548888301638,1872.371081332441,1594.598902257233,1500.7547058806854,10.0,0.75,6
100000,NGG,geom,7132.602171952583,7180.524460305755,7139.358653919284,7223.590044654125,10.0,0.75,6
100000,NGG,avg,6969.644387481798,7428.546196902427,7531.2110597764895,7086.090678804442,10.0,0.75,6
100000,DP,geom,11879.443374747245,11716.947977699441,10779.279481605055,9956.998510148565,10.0,0.75,6
100000,DP,avg,11879.219061357779,11716.856857689745,10779.265322745558,9956.998510148565,10.0,0.75,6
250000,NGG,geom,13813.650185336714,14330.375906669618,14683.655788630607,13367.371491477086,10.0,0.75,6
250000,NGG,avg,13967.235708362372,14776.116561317753,14039.710227329802,14281.745563853701,10.0,0.75,6
250000,DP,geom,23883.040108958106,23683.2850507783,22550.095101126517,21498.922481360765,10.0,0.75,6
250000,DP,avg,23882.76294522693,23683.142052928575,22550.09253168381,21498.922481360765,10.0,0.75,6
5000,NGG,geom,54.703019247154344,49.31277682208551,54.360317829294814,20.94256090004123,10.0,0.25,8
5000,NGG,avg,52.40372246113412,47.86425471618463,72.16138994874211,53.98945154000083,10.0,0.25,8
5000,DP,geom,128.45957738073727,129.71656473753262,130.65768630317447,130.537644741045,10.0,0.25,8
5000,DP,avg,128.3250610256512,129.6809747877927,130.65218402794963,130.537644741045,10.0,0.25,8
10000,NGG,geom,149.6315955404674,149.32474773830893,173.3016996088088,185.72205704673672,10.0,0.25,8
10000,NGG,avg,152.2325230765196,158.92724148702916,187.955349536619,87.87185117152166,10.0,0.25,8
10000,DP,geom,156.8066193634308,158.3858524168481,159.67527086230007,161.20295250874108,10.0,0.25,8
10000,DP,avg,156.71664720092696,158.32084869635804,159.67527086230007,161.20295250874108,10.0,0.25,8
100000,NGG,geom,909.6025542519553,914.7577407921362,1254.7471841462088,1192.4608370969388,10.0,0.25,8
100000,NGG,avg,974.8500239449359,930.0436695418555,1044.6902483345452,1146.3505388450697,10.0,0.25,8
100000,DP,geom,305.45669054259054,308.7468423973119,309.75689098764735,310.94324017815165,10.0,0.25,8
100000,DP,avg,305.11725982710004,308.64266790843254,309.74335024711286,310.94324017815165,10.0,0.25,8
250000,NGG,geom,1625.3872139377472,1821.6130045985633,1623.4655371195358,2878.6700527145113,10.0,0.25,8
250000,NGG,avg,1725.9158978533374,1586.7659365552354,2200.7155034542966,2438.0282101171124,10.0,0.25,8
250000,DP,geom,393.7224031948175,396.7943174547891,396.9161152375975,398.70393046980297,10.0,0.25,8
250000,DP,avg,393.4796885124456,396.6147916172686,396.9157040696134,398.70393046980297,10.0,0.25,8
5000,NGG,geom,2772.2779854787045,2787.440201580202,2769.8783454718687,2807.13388889757,1000.0,0.75,6
5000,NGG,avg,2772.5321424017457,2784.2195978852765,2815.087888960228,2762.319422214382,1000.0,0.75,6
5000,DP,geom,2282.6063478859787,2260.0476123083977,2082.725046594396,1936.7557955525128,1000.0,0.75,6
5000,DP,avg,2271.592829265369,2256.726150330356,2082.724993677781,1936.755795552513,1000.0,0.75,6
10000,NGG,geom,4720.873902002708,4703.404587084358,4677.647873514705,4684.564985615678,1000.0,0.75,6
10000,NGG,avg,4704.849519936486,4703.123639849682,4635.198734528654,4684.43433230767,1000.0,0.75,6
10000,DP,geom,3949.9783081589594,4100.5376918468055,3504.2771872034723,3169.8972251162554,1000.0,0.75,6
10000,DP,avg,3934.672565175659,4090.882406253253,3503.910953988913,3169.897225116254,1000.0,0.75,6
100000,NGG,geom,25096.43324986306,25144.71126515128,24891.83158204193,25309.074285200906,1000.0,0.75,6
100000,NGG,avg,24965.46835791083,24659.227824696674,25155.325761494805,24381.00400709191,1000.0,0.75,6
100000,DP,geom,33104.22308455745,33093.93199005331,31031.19199409274,29182.16474846705,1000.0,0.75,6
100000,DP,avg,33059.7382053275,33083.37186077892,31030.267339995822,29182.16474846705,1000.0,0.75,6
250000,NGG,geom,46178.49306802068,45357.1622280093,47176.09730800271,48334.01592103511,1000.0,0.75,6
250000,NGG,avg,46589.37533239122,47373.344716848995,46945.37160443824,45658.71890117374,1000.0,0.75,6
250000,DP,geom,71313.02820051654,71902.55854152123,69272.11897347827,66817.62857607155,1000.0,0.75,6
250000,DP,avg,71149.99087104268,71832.55430877095,69270.7579915962,66817.62857607155,1000.0,0.75,6
5000,NGG,geom,2697.255468557684,2694.174117090103,2679.619854998864,2742.819284800704,1000.0,0.75,5
5000,NGG,avg,2689.292253756216,2716.2318409858144,2702.6418480419907,2723.4620568732216,1000.0,0.75,5
5000,DP,geom,2174.22051617803,2237.408558805371,1995.3861882563156,1876.0103985049404,1000.0,0.75,5
5000,DP,avg,2163.7837981733433,2234.275293649477,1995.383012294974,1876.0103985049395,1000.0,0.75,5
10000,NGG,geom,4685.235188965403,4643.963749786675,4682.518145973081,4667.134568702722,1000.0,0.75,5
10000,NGG,avg,4691.139035445307,4718.7430069355105,4707.392247242098,4668.834580097131,1000.0,0.75,5
10000,DP,geom,4087.112433915588,3908.1909364231306,3529.963541979691,3203.616915048253,1000.0,0.75,5
10000,DP,avg,4063.247953267422,3902.9696172650915,3529.7972359129362,3203.6169150482506,1000.0,0.75,5
100000,NGG,geom,25304.407305350815,25611.880769881507,25919.44152810255,24980.870363989685,1000.0,0.75,5
